Model,Attack,Epsilon,AccMean,AccStd
Baseline,Clean,0.0,86.42666666666666,0.1357694123627733
Baseline,FGSM,0.0,86.42666666666666,0.1357694123627733
Baseline,FGSM,0.01,73.39666666666666,0.5054041287260437
Baseline,FGSM,0.02,60.07666666666666,0.43466462167208086
Baseline,FGSM,0.03,48.71333333333333,0.4735328218121036
Baseline,FGSM,0.05,32.24333333333333,0.6375996654118735
Baseline,FGSM,0.08,18.403333333333332,0.6551590137770642
Baseline,FGSM,0.1,13.306666666666667,0.27970222261064176
Baseline,FGSM,0.15,7.05,0.3044667469527664
Baseline,FGSM,0.2,4.72,0.3740320841853015
Baseline,FGSM,0.3,3.6533333333333338,0.35697805721547304
Baseline,PGD-20,0.0,86.42666666666666,0.1357694123627733
Baseline,PGD-20,0.01,71.72333333333334,0.50520622851796
Baseline,PGD-20,0.02,53.28333333333333,0.4086971168644748
Baseline,PGD-20,0.03,36.376666666666665,1.0620891362467335
Baseline,PGD-20,0.05,13.766666666666666,0.7086842268128541
Baseline,PGD-20,0.08,2.563333333333333,0.24501700621249406
Baseline,PGD-20,0.1,0.7999999999999999,0.09848857801796106
Baseline,PGD-20,0.15,0.04,0.017320508075688773
Baseline,PGD-20,0.2,0.006666666666666667,0.011547005383792516
Baseline,PGD-20,0.3,0.0,0.0
Baseline,PGD-5,0.0,86.42666666666666,0.1357694123627733
Baseline,PGD-5,0.01,71.93666666666667,0.48263167460635237
Baseline,PGD-5,0.02,54.29,0.3988734135035852
Baseline,PGD-5,0.03,38.36333333333334,0.9453747052536069
Baseline,PGD-5,0.05,16.43,0.7186097689288674
Baseline,PGD-5,0.08,3.9466666666666668,0.42477444995354086
Baseline,PGD-5,0.1,1.4433333333333334,0.11015141094572213
Baseline,PGD-5,0.15,0.13,0.06244997998398397
Baseline,PGD-5,0.2,0.02666666666666667,0.02081665999466133
Baseline,PGD-5,0.3,0.0,0.0
FGSM-AT,Clean,0.0,85.84333333333332,0.2119748412744555
FGSM-AT,FGSM,0.0,85.84333333333332,0.2119748412744555
FGSM-AT,FGSM,0.01,80.99333333333333,0.32347076117221985
FGSM-AT,FGSM,0.02,75.82666666666667,0.48993196806630807
FGSM-AT,FGSM,0.03,70.27999999999999,0.3148015247739502
FGSM-AT,FGSM,0.05,59.376666666666665,0.3682843104631646
FGSM-AT,FGSM,0.08,44.76,0.3666060555964648
FGSM-AT,FGSM,0.1,36.82,0.5230678732248828
FGSM-AT,FGSM,0.15,22.49333333333333,0.34428670223134317
FGSM-AT,FGSM,0.2,14.26,0.30049958402633437
FGSM-AT,FGSM,0.3,6.623333333333334,0.2107921567168318
FGSM-AT,PGD-20,0.0,85.84333333333332,0.2119748412744555
FGSM-AT,PGD-20,0.01,80.79666666666667,0.3412232895529525
FGSM-AT,PGD-20,0.02,74.93,0.39038442591885797
FGSM-AT,PGD-20,0.03,67.94,0.35156791662493225
FGSM-AT,PGD-20,0.05,53.34,0.3899999999999974
FGSM-AT,PGD-20,0.08,32.39,0.48877397639399445
FGSM-AT,PGD-20,0.1,21.656666666666666,0.32331615074619174
FGSM-AT,PGD-20,0.15,6.153333333333333,0.28005951748393276
FGSM-AT,PGD-20,0.2,1.4666666666666668,0.11239810200058241
FGSM-AT,PGD-20,0.3,0.08333333333333333,0.028867513459481284
FGSM-AT,PGD-5,0.0,85.84333333333332,0.2119748412744555
FGSM-AT,PGD-5,0.01,80.81333333333333,0.32654759734736205
FGSM-AT,PGD-5,0.02,74.99000000000001,0.3750999866702157
FGSM-AT,PGD-5,0.03,68.20666666666666,0.3477547028198667
FGSM-AT,PGD-5,0.05,54.05666666666667,0.3407834111768578
FGSM-AT,PGD-5,0.08,33.97333333333333,0.4427565169857303
FGSM-AT,PGD-5,0.1,23.47666666666667,0.4050102879351756
FGSM-AT,PGD-5,0.15,7.69,0.19078784028338924
FGSM-AT,PGD-5,0.2,2.0866666666666664,0.16258331197676265
FGSM-AT,PGD-5,0.3,0.16666666666666666,0.035118845842842465
PGD-AT,Clean,0.0,84.22,0.43278170016764383
PGD-AT,FGSM,0.0,84.22,0.43278170016764383
PGD-AT,FGSM,0.01,80.31333333333333,0.6964433453866374
PGD-AT,FGSM,0.02,76.05333333333333,0.7274842495431351
PGD-AT,FGSM,0.03,71.63333333333334,0.7129048557369605
PGD-AT,FGSM,0.05,62.75666666666666,0.8126704949321928
PGD-AT,FGSM,0.08,49.696666666666665,0.7086842268128524
PGD-AT,FGSM,0.1,42.5,1.0150369451404224
PGD-AT,FGSM,0.15,27.896666666666665,0.9228939989691839
PGD-AT,FGSM,0.2,18.403333333333332,0.8030774142841599
PGD-AT,FGSM,0.3,8.623333333333333,0.8152504727587294
PGD-AT,PGD-20,0.0,84.22,0.43278170016764383
PGD-AT,PGD-20,0.01,80.19333333333333,0.6730032194078462
PGD-AT,PGD-20,0.02,75.42666666666666,0.7129048557369602
PGD-AT,PGD-20,0.03,70.20666666666666,0.7656587577591821
PGD-AT,PGD-20,0.05,58.67333333333334,0.5697660338536601
PGD-AT,PGD-20,0.08,40.75666666666667,0.5852634734316965
PGD-AT,PGD-20,0.1,29.83666666666667,0.7223111056416998
PGD-AT,PGD-20,0.15,11.223333333333334,0.40377386410382476
PGD-AT,PGD-20,0.2,3.473333333333333,0.2802379940931159
PGD-AT,PGD-20,0.3,0.24,0.08888194417315588
PGD-AT,PGD-5,0.0,84.22,0.43278170016764383
PGD-AT,PGD-5,0.01,80.19666666666667,0.6864643714959554
PGD-AT,PGD-5,0.02,75.48666666666666,0.7021633238309573
PGD-AT,PGD-5,0.03,70.37,0.7531932023060215
PGD-AT,PGD-5,0.05,59.17666666666667,0.5885858759206979
PGD-AT,PGD-5,0.08,41.839999999999996,0.597745765355141
PGD-AT,PGD-5,0.1,31.320000000000004,0.8580792504192156
PGD-AT,PGD-5,0.15,13.18,0.4938623289946301
PGD-AT,PGD-5,0.2,4.6433333333333335,0.38004385711827154
PGD-AT,PGD-5,0.3,0.45,0.13114877048603998
